% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jan 20 2025, 18:48
% Dimension:          3
% Nodes:              400
% Expressions:        1
% Description:        Potenziale elettrico
% Length unit:        mm
% x                       y                        z                        V (V)
-4.101000000000001        6.928203230275509        9.019                    22.47177503436648
-3.932                    6.928203230275509        9.124                    22.516623747931
-4.078                    6.928203230275509        9.01                     22.470347186626398
-4.011                    6.928203230275509        8.993                    22.468199465449683
-3.9389999999999996       6.928203230275509        9.092                    22.507526416052336
-4.095                    6.928203230275509        8.979                    22.463115630370616
-3.89                     6.928203230275509        9.11                     22.52511222131926
-3.9760000000000004       6.928203230275509        9.103                    22.499589360212628
-3.9690000000000003       6.928203230275509        9.013                    22.481594689917873
-3.9510000000000005       6.928203230275509        9.022                    22.48863490078354
-4.105                    6.928203230275509        9.016                    22.47101596833696
-4.076                    6.928203230275509        8.98                     22.463793915855558
-4.017                    6.928203230275509        8.99                     22.467397947531357
-3.962                    6.928203230275509        8.971                    22.4743120708492
-3.9580000000000006       6.928203230275509        9.006                    22.48314036488742
-4.025                    6.928203230275509        9.038                    22.477797130714837
-4.091                    6.928203230275509        8.909                    22.44790017426417
-4.056                    6.928203230275509        9.033                    22.475952689767176
-3.9119999999999995       6.928203230275509        8.938000000000002        22.480986442918265
-3.973                    6.928203230275509        8.958                    22.468365737941802
-3.893                    6.928203230275509        8.956000000000001        22.490163251957718
-3.913                    6.928203230275509        8.94                     22.481148682595578
-3.9690000000000003       6.928203230275509        9.126000000000001        22.506700980156015
-4.093                    6.928203230275509        9.098                    22.489478062374317
-3.8870000000000005       6.928203230275509        9.097                    22.52303191748294
-4.103                    6.928203230275509        9.038                    22.475922782845792
-3.9909999999999997       6.928203230275509        9.035                    22.48024046929994
-4.026                    6.928203230275509        9.007                    22.470928609532294
-3.982                    6.928203230275509        8.955                    22.46516980109198
-4.008                    6.928203230275509        9.114                    22.495083955731374
-4.088                    6.928203230275509        9.123                    22.495173311551618
-4.073                    6.928203230275509        8.943                    22.45575535273027
-3.953                    6.928203230275509        8.999                    22.48299748503355
-4.009                    6.928203230275509        8.957                    22.460340128245132
-4.018                    6.928203230275509        9.121                    22.496409342998184
-4.073                    6.928203230275509        9.064                    22.48240765704257
